cwit_id,crid,gender,age,race,race_edit,final_outcome_highest
1,1043909,F,23.9,BLACK,Black,not-sustained
2,1043921,F,40.7,WHITE HISPANIC,White/Hispanic,unknown
3,1043926,F,31.9,BLACK,Black,not-sustained
4,1043927,F,53.6,WHITE,White,not-sustained
5,1043930,F,34.2,BLACK,Black,not-sustained
6,1043932,F,66.2,BLACK,Black,not-sustained
7,1043933,M,43.9,WHITE,White,unknown
8,1043935,M,31.1,BLACK,Black,not-sustained
9,1043936,M,58.3,WHITE,White,unknown
10,1043943,M,39.2,BLACK,Black,unknown
11,1043945,F,26.8,BLACK,Black,not-sustained
12,1043946,M,50.2,BLACK,Black,not-sustained
13,1043947,M,58.3,WHITE,White,unknown
14,1043949,F,62.7,BLACK,Black,not-sustained
15,1043950,M,,BLACK,Black,unknown
16,1043952,F,54.0,BLACK,Black,unknown
17,1043958,M,23.4,BLACK,Black,disciplined
18,1043959,F,35.4,BLACK,Black,unknown
19,1043963,M,,UNKNOWN,Unknown,not-sustained
20,1043964,F,30.6,BLACK,Black,not-sustained
21,1043965,M,53.3,WHITE,White,disciplined
22,1043968,M,29.0,BLACK,Black,unknown
23,1043975,M,38.2,BLACK,Black,not-sustained
24,1043977,F,40.1,WHITE HISPANIC,White/Hispanic,not-sustained
25,1043981,F,41.1,BLACK,Black,not-sustained
26,1043985,M,48.1,BLACK,Black,unknown
27,1043986,F,52.7,WHITE,White,unknown
28,1043987,M,49.2,BLACK,Black,not-sustained
29,1043988,M,46.6,WHITE HISPANIC,White/Hispanic,not-sustained
30,1043989,F,36.6,BLACK,Black,not-sustained
31,1043990,M,50.3,BLACK,Black,unknown
32,1043994,F,29.2,WHITE HISPANIC,White/Hispanic,unknown
33,1043995,F,56.0,WHITE,White,not-sustained
34,1043996,M,61.8,WHITE,White,unknown
35,1043997,F,32.9,BLACK,Black,not-sustained
36,1044003,M,25.7,BLACK,Black,unknown
37,1044004,M,42.9,WHITE HISPANIC,White/Hispanic,unknown
38,1044005,F,23.1,WHITE,White,not-sustained
39,1044006,M,55.9,WHITE,White,disciplined
40,1044008,M,52.1,BLACK,Black,not-sustained
41,1044011,F,35.3,WHITE HISPANIC,White/Hispanic,not-sustained
42,1044013,M,26.7,BLACK,Black,not-sustained
43,1044016,F,33.1,BLACK,Black,not-sustained
44,1044017,F,29.1,BLACK,Black,not-sustained
45,1044018,F,52.1,BLACK,Black,unknown
46,1044020,M,37.5,BLACK,Black,unknown
47,1044022,F,27.0,BLACK,Black,unknown
48,1044024,M,40.7,BLACK,Black,unknown
49,1044026,M,27.2,BLACK,Black,not-sustained
50,1044027,F,31.5,BLACK,Black,unknown
51,1044028,F,65.7,WHITE,White,unknown
52,1044029,M,56.4,BLACK,Black,not-sustained
53,1044030,F,40.6,BLACK,Black,not-sustained
54,1044031,F,37.7,BLACK,Black,unknown
55,1044032,F,54.1,BLACK,Black,not-sustained
56,1044034,F,57.7,WHITE,White,sustained
57,1044037,M,58.3,WHITE,White,unknown
58,1044039,F,41.8,BLACK,Black,unknown
59,1044040,F,43.8,BLACK,Black,not-sustained
60,1044041,M,36.6,WHITE,White,unknown
61,1044045,F,,BLACK,Black,not-sustained
62,1044047,M,,BLACK,Black,unknown
63,1044049,F,58.9,WHITE HISPANIC,White/Hispanic,unknown
64,1044050,F,,WHITE,White,not-sustained
65,1044052,M,28.0,ASIAN/PACIFIC ISLANDER,Asian,not-sustained
66,1044055,F,44.9,BLACK,Black,not-sustained
67,1044060,F,37.8,BLACK,Black,not-sustained
68,1044063,M,48.8,HISPANIC,Hispanic,unknown
